frame,r1,r2,r3,t1,t2,t3
26,-0.377795564,-0.491933105,-1.610335568,-6.515854037,3.441799685,602.5984913
27,-0.366196255,-0.510398004,-1.613763176,-6.450277862,3.436500733,602.362112
28,0.353537837,0.490347914,-1.617512973,-6.412839538,3.464289791,606.8345214
29,0.37318693,0.486676033,-1.609557332,-6.38771944,3.453989501,607.2790131
30,0.35163489,0.501253003,-1.615363309,-6.307514802,3.460614825,607.9086147
31,0.32291461,0.510043112,-1.623423249,-6.258509939,3.478032672,610.9997709
32,0.319993161,0.503690203,-1.626574133,-6.190668302,3.48930659,611.1037901
33,-0.313972163,-0.523918411,-1.626075935,-6.152286949,3.482303782,611.1554337
34,-0.286982275,-0.528107528,-1.629109445,-6.098126423,3.502387644,614.9499122
36,-0.255249664,-0.535830554,-1.639565587,-5.979518722,3.530658457,618.1191974
39,-0.229766874,-0.533454138,-1.646442921,-5.819019405,3.555685504,624.5509812
40,-0.214786624,-0.549166014,-1.643166557,-5.762842182,3.566907942,627.14284
42,0.194639581,0.522749503,-1.649959224,-5.633552398,3.591011529,629.906834
44,-0.160189053,-0.561710961,-1.651224267,-5.54509733,3.623977048,638.8730429
45,-0.116832356,-0.55739469,-1.658098868,-5.483015464,3.657450384,642.3050796
46,0.141758276,0.538685172,-1.659970151,-5.408940835,3.65339373,642.993319
48,0.056085986,0.555862958,-1.663344701,-5.285507394,3.713086191,650.7717313
49,-0.044510401,-0.585960246,-1.660283378,-5.187874337,3.688936637,647.600611
50,0.021667658,0.575641074,-1.664036334,-5.153431139,3.722557067,655.1209375
51,0.001503692,-0.59748173,-1.663680898,-5.051141406,3.725753761,655.0219421
52,0.010453421,0.593439765,-1.663159129,-4.970281766,3.712158326,653.3295844
53,0.046347029,-0.614154506,-1.666288499,-4.886731215,3.744924119,657.8142214
54,0.073949641,-0.621080754,-1.665300944,-4.817512558,3.756623736,659.5755349
55,-0.096903755,0.632852783,-1.668131195,-4.714746813,3.772338049,664.2036248
56,0.124038536,-0.642351535,-1.666710272,-4.637376836,3.780908372,662.5729514
331,-0.729983867,0.232035148,-1.475209405,-8.749747627,3.874241743,677.6737301
332,-0.729983867,0.232035148,-1.475209405,-8.749747627,3.874241743,677.6737301
333,0.733974689,-0.246881581,-1.476188343,-8.703462664,3.885802608,674.4519396
334,-0.727973088,0.213487672,-1.483018537,-8.71952615,3.891841099,674.7681072
335,-0.727973088,0.213487672,-1.483018537,-8.71952615,3.891841099,674.7681072
336,-0.716687755,0.196616586,-1.489393956,-8.727568604,3.887699993,673.7584874
337,-0.716687755,0.196616586,-1.489393956,-8.727568604,3.887699993,673.7584874
338,-0.69784931,0.184000201,-1.492989199,-8.733639821,3.874950636,674.2199842
339,-0.69784931,0.184000201,-1.492989199,-8.733639821,3.874950636,674.2199842
340,-0.685665702,0.169718065,-1.498065913,-8.738303716,3.874186074,674.1321888
341,-0.672677811,0.147768544,-1.502355465,-8.747751057,3.864551468,673.9075298
342,-0.654316056,0.112743589,-1.50980149,-8.749884092,3.855565097,673.2138404
343,-0.644430208,0.102279156,-1.513140565,-8.744759897,3.849631789,672.5827323
344,-0.635637316,0.083407241,-1.516729273,-8.722684371,3.841308211,670.2501707
345,-0.621594401,0.060017019,-1.521982831,-8.706146193,3.832183139,668.7152274
346,-0.605688215,0.032358572,-1.527642772,-8.670570358,3.816387721,665.8135503
347,-0.595919296,0.018682641,-1.530462804,-8.679668401,3.814601169,667.0117758
348,-0.585077661,-0.002022944,-1.535785979,-8.634228029,3.809810365,663.9751284
349,0.580408658,0.009022484,-1.534990777,-8.592174434,3.794920589,660.3378002
350,-0.566082011,-0.038792282,-1.541753353,-8.574900251,3.786715575,660.1879969
351,0.565995833,0.048708381,-1.539926132,-8.51979891,3.767229514,656.0103488
352,-0.547817283,-0.083987282,-1.547346568,-8.50573116,3.75378649,655.6261922
353,-0.541918679,-0.108721487,-1.550034949,-8.454036203,3.736796294,652.8320529
354,-0.529670323,-0.130128533,-1.553046745,-8.413581671,3.720301831,650.4077702
355,-0.527253773,-0.153771946,-1.554733052,-8.355232233,3.702797742,646.7910642
356,0.528337244,0.15577189,-1.552812636,-8.308626394,3.693171518,645.0221137
